N1,砕,サイ,くだ.く,"fracasser, briser, familier (informel)",
N1,又,ユウ,また,"de nouveau, encore, ou bien, de plus",
N1,硝,ショウ,-,"nitrate, salpêtre",
N1,硫,リュウ,-,soufre,
N1,碁,ゴ,-,jeu de Go,
N1,碑,ヒ,いしぶみ,"pierre tombale, monument",
N1,磁,ジ,-,"magnétisme, aimant, porcelaine",
N1,叙,ジョ,"つい.ず, ついで","conférer, raconter, décrire",
N1,礁,ショウ,-,"récif, écueil",
N1,礎,ソ,いしずえ,"pierre angulaire, fondement, base",
N1,句,ク,-,"phrase, compteur de haïku, paragraphe",
N1,祉,シ,-,"bien-être, bonheur",
N1,祥,ショウ,さいわ.い,"bonne chance, bonheur",
N1,票,ヒョウ,-,"bulletin, ticket, vote",
N1,吉,"キチ, キツ",よし,"bonne chance, joie, félicitations",
N1,禅,ゼン,-,"zen, méditation",
N1,禍,カ,わざわい,"calamité, malchance, mal",
N1,后,"コウ, ゴ",きさき,"impératrice, reine",
N1,吏,リ,-,"fonctionnaire, employé",
N1,吐,ト,"は.く, つ.く","cracher, vomir, mentir, avouer",
N1,秘,ヒ,"ひ.める, ひそ.か, かく.す","tenir un secret, cacher",
N1,租,ソ,-,"taxe, emprunt, impôt",
N1,秩,チツ,-,"ordre, régularité, salaire",
N1,称,ショウ,"たた.える, とな.える, あ.げる, かな.う, はか.る, ほめ.る","admirer, éloge, renommée, appeler, nommer",
N1,呂,"ロ, リョ",-,"colonne vertébrale, épine dorsale",
N1,呈,テイ,-,"afficher, offrir, présenter",
N1,呉,ゴ,く.れる,faire quelque chose pour moi,
N1,稚,チ,"いとけない, おさない","puéril, jeune, immature",
N1,稲,"トウ, テ",いね,plant de riz,
N1,稼,カ,かせ.ぐ,"revenu, travail, gagner de l'argent",
N1,稿,コウ,"わら, したがき","brouillon, copie, manuscrit",
N1,穀,コク,-,"grain, céréale",
N1,穂,スイ,ほ,"épi, pointe",
N1,穏,オン,おだ.やか,"calme, tranquille, modéré",
N1,穫,カク,-,"récolte, moisson",
N1,哲,テツ,"さとし, さとる","philosophie, sagesse",
N1,唄,バイ,"うた, うた.う",chanson avec un shamisen (instrument à cordes),
N1,唆,サ,"そそ.る, そそのか.す","inciter, séduire, tenter",
N1,唇,シン,くちびる,lèvres,
N1,唐,トウ,から,"dynastie Tang, Chine",
N1,唯,"ユイ, イ",ただ,"seulement, simplement, unique",
N1,唱,ショウ,とな.える,"chanter, réciter",
N1,窮,"キュウ, キョウ",きわ.める,"fauché, sans ressource, perplexe, acculé",
N1,窯,ヨウ,かま,"four à poterie, fourneau, fournaise",
